"","Participant.Private.ID","Eye.Condition","structure","meanRt","hand","size","xR","yR","xL","yL"
"252",4339358,"Binoc","pos4Size3",1204.66250000149,"right",5,74,74,26,74
"253",4339358,"Binoc","pos5Size1",757.037499986589,"right",20,8,46,92,46
"254",4339358,"Binoc","pos5Size2",903.79999999702,"right",10,8,46,92,46
"255",4339358,"Binoc","pos5Size3",1071.83750000596,"right",5,8,46,92,46
"256",4339358,"Mono","pos1Size1",786.937500007451,"right",20,40,40,60,40
"257",4339358,"Mono","pos1Size2",849.58750000596,"right",10,40,40,60,40
"258",4339358,"Mono","pos1Size3",1121.45000001043,"right",5,40,40,60,40
"259",4339358,"Mono","pos2Size1",804.775000013411,"right",20,20,25,80,25
"260",4339358,"Mono","pos2Size2",863.02500000596,"right",10,20,25,80,25
"261",4339358,"Mono","pos2Size3",936.125,"right",5,20,25,80,25
"262",4339358,"Mono","pos3Size1",870.012499980628,"right",20,41,71,59,71
"263",4339358,"Mono","pos3Size2",1400.15000001341,"right",10,41,71,59,71
"264",4339358,"Mono","pos3Size3",1161.09999999404,"right",5,41,71,59,71
"265",4339358,"Mono","pos4Size1",919.22500000149,"right",20,74,74,26,74
"266",4339358,"Mono","pos4Size2",980.70000001043,"right",10,74,74,26,74
"267",4339358,"Mono","pos4Size3",1278.05000001192,"right",5,74,74,26,74
"268",4339358,"Mono","pos5Size1",926.64999999851,"right",20,8,46,92,46
"269",4339358,"Mono","pos5Size2",968.58749999851,"right",10,8,46,92,46
"270",4339358,"Mono","pos5Size3",1097.8125000149,"right",5,8,46,92,46
"271",4354253,"Binoc","pos1Size1",694.787500001025,"right",20,40,40,60,40
"272",4354253,"Binoc","pos1Size2",837.974999999627,"right",10,40,40,60,40
"273",4354253,"Binoc","pos1Size3",878.862500000279,"right",5,40,40,60,40
"274",4354253,"Binoc","pos2Size1",671.074999999721,"right",20,20,25,80,25
"275",4354253,"Binoc","pos2Size2",735.674999999581,"right",10,20,25,80,25
"276",4354253,"Binoc","pos2Size3",877.025000000139,"right",5,20,25,80,25
"277",4354253,"Binoc","pos3Size1",864.412500000559,"right",20,41,71,59,71
"278",4354253,"Binoc","pos3Size2",857.699999999953,"right",10,41,71,59,71
"279",4354253,"Binoc","pos3Size3",1007.97499999986,"right",5,41,71,59,71
"280",4354253,"Binoc","pos4Size1",937.450000000419,"right",20,74,74,26,74
"281",4354253,"Binoc","pos4Size2",948.137499999954,"right",10,74,74,26,74
"282",4354253,"Binoc","pos4Size3",1151.76250000019,"right",5,74,74,26,74
"283",4354253,"Binoc","pos5Size1",681.40000000014,"right",20,8,46,92,46
"284",4354253,"Binoc","pos5Size2",812.137499999721,"right",10,8,46,92,46
"285",4354253,"Binoc","pos5Size3",828.375000000233,"right",5,8,46,92,46
"286",4354253,"Mono","pos1Size1",721.949999999488,"right",20,40,40,60,40
"287",4354253,"Mono","pos1Size2",942.36250000028,"right",10,40,40,60,40
"288",4354253,"Mono","pos1Size3",963.850000000327,"right",5,40,40,60,40
"289",4354253,"Mono","pos2Size1",627.950000000652,"right",20,20,25,80,25
"290",4354253,"Mono","pos2Size2",685.25,"right",10,20,25,80,25
"291",4354253,"Mono","pos2Size3",824.41249999986,"right",5,20,25,80,25
"292",4354253,"Mono","pos3Size1",830.262500000186,"right",20,41,71,59,71
"293",4354253,"Mono","pos3Size2",884.762499999488,"right",10,41,71,59,71
"294",4354253,"Mono","pos3Size3",1157.73750000028,"right",5,41,71,59,71
"295",4354253,"Mono","pos4Size1",925.212499999907,"right",20,74,74,26,74
"296",4354253,"Mono","pos4Size2",984.562499999768,"right",10,74,74,26,74
"297",4354253,"Mono","pos4Size3",1041.32499999995,"right",5,74,74,26,74
"298",4354253,"Mono","pos5Size1",728.212499999907,"right",20,8,46,92,46
"299",4354253,"Mono","pos5Size2",774.53749999986,"right",10,8,46,92,46
"300",4354253,"Mono","pos5Size3",857.187500000233,"right",5,8,46,92,46
"301",4372219,"Binoc","pos1Size1",821.412499998696,"right",20,40,40,60,40
"302",4372219,"Binoc","pos1Size2",706.662500000559,"right",10,40,40,60,40
"303",4372219,"Binoc","pos1Size3",878.137500000186,"right",5,40,40,60,40
"304",4372219,"Binoc","pos2Size1",682.037499999627,"right",20,20,25,80,25
"305",4372219,"Binoc","pos2Size2",712.525000000373,"right",10,20,25,80,25
"306",4372219,"Binoc","pos2Size3",830.025000003166,"right",5,20,25,80,25
"307",4372219,"Binoc","pos3Size1",695.087499999441,"right",20,41,71,59,71
"308",4372219,"Binoc","pos3Size2",818.750000000931,"right",10,41,71,59,71
"309",4372219,"Binoc","pos3Size3",972.149999999441,"right",5,41,71,59,71
