"","Participant.Private.ID","Eye.Condition","Task.Name","Spreadsheet","Trial.Number","structure","xR","yR","xL","yL","size","Reaction.Time"
"234",4381159,"Mono","Fitts's Law","right","8","pos1Size1",40,40,60,40,20,826.690000016242
"235",4381159,"Mono","Fitts's Law","right","8","pos3Size2",41,71,59,71,10,1088.31999998074
"236",4381159,"Mono","Fitts's Law","right","8","pos3Size1",41,71,59,71,20,732.554999995045
"237",4381159,"Mono","Fitts's Law","right","8","pos2Size1",20,25,80,25,20,693.99999990128
"238",4381159,"Mono","Fitts's Law","right","8","pos4Size2",74,74,26,74,10,1283.42500003055
"239",4381159,"Mono","Fitts's Law","right","8","pos4Size3",74,74,26,74,5,1401.57500002533
"240",4381159,"Mono","Fitts's Law","right","8","pos3Size3",41,71,59,71,5,3021.81999990717
"241",4384320,"Mono","Fitts's Law","right","1","pos1Size3",40,40,60,40,5,1075.39999997616
"242",4384320,"Mono","Fitts's Law","right","1","pos4Size3",74,74,26,74,5,1050.39999997616
"243",4384320,"Mono","Fitts's Law","right","1","pos4Size1",74,74,26,74,20,700.600000023842
"244",4384320,"Mono","Fitts's Law","right","1","pos5Size3",8,46,92,46,5,716.200000047684
"245",4384320,"Mono","Fitts's Law","right","1","pos4Size2",74,74,26,74,10,726.100000023842
"246",4384320,"Mono","Fitts's Law","right","1","pos2Size1",20,25,80,25,20,502.700000047684
"247",4384320,"Mono","Fitts's Law","right","1","pos1Size1",40,40,60,40,20,568.899999976158
"248",4384320,"Mono","Fitts's Law","right","1","pos3Size2",41,71,59,71,10,706.899999976158
"249",4384320,"Mono","Fitts's Law","right","1","pos5Size1",8,46,92,46,20,792.5
"250",4384320,"Mono","Fitts's Law","right","1","pos1Size2",40,40,60,40,10,568.399999976158
"251",4384320,"Mono","Fitts's Law","right","1","pos3Size1",41,71,59,71,20,945
"252",4384320,"Mono","Fitts's Law","right","1","pos2Size2",20,25,80,25,10,771
"253",4384320,"Mono","Fitts's Law","right","1","pos5Size2",8,46,92,46,10,593.399999976158
"254",4384320,"Mono","Fitts's Law","right","1","pos3Size3",41,71,59,71,5,848.5
"255",4384320,"Mono","Fitts's Law","right","1","pos2Size3",20,25,80,25,5,738.899999976158
"256",4384320,"Mono","Fitts's Law","right","2","pos3Size2",41,71,59,71,10,745.200000047684
"257",4384320,"Mono","Fitts's Law","right","2","pos4Size3",74,74,26,74,5,1728.70000004768
